GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,related to marijuana usage or posession?,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
0,1,19,2017,"LINCOLN AV & LEMINGTON AV PITTSBURGH, PA ",34,1,25,5,1201,9,2,-79.8960471,40.46874903
1,1,15,2017,"500 Block 54 AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,17,2017,"500 Block 54 AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,15,2017,"500 Block LAIMER AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,17,2017,"500 Block 54 AV PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.91445677,40.46522973
1,1,27,2017,"S 12TH ST & E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98642219,40.42874965
1,1,31,2017,"HAMILTON AV & N DUNFERMLINE ST PITTSBURGH, PA ",34,1,45,5,1303,9,2,-79.89424495,40.45388035
0,2,23,2017,"S 17TH ST & E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98204758,40.42883493
1,1,34,2017,"WINFIELD ST & RAPIDAN WY PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.90944418,40.46423807
1,1,59,2017,"INDUSTRY WY & HABERMAN AV PITTSBURGH, PA ",34,1,60,3,1809,3,5,-80.00245073,40.42065228
1,0,41,2017,"1200 Block FEDERAL ST PITTSBURGH, PA ",34,1,87,1,2206,1,1,-80.00648864,40.4560264
1,1,54,2017,"1200 Block FEDERAL ST PITTSBURGH, PA ",34,1,87,1,2206,1,1,-80.00648864,40.4560264
1,1,23,2017,"WINFIELD ST & RAPIDAN WY PITTSBURGH, PA ",34,1,54,5,1204,9,2,-79.90944418,40.46423807
0,1,28,2017,"54 AV & BROAD ST PITTSBURGH, PA ",34,1,9,5,1115,9,2,-79.92083206,40.46121375
1,1,30,2017,"1500 Block E CARSON ST PITTSBURGH, PA ",34,1,13,3,1702,3,3,-79.98330671,40.42868483
1,0,41,2017,"INDUSTRY ST & CURTIN AV PITTSBURGH, PA ",34,1,60,3,1809,3,5,-79.99889921,40.420705
1,0,17,2017,"1700 Block MURRAY AV PITTSBURGH, PA ",37,1,46,4,1413,5,3,-79.92305429,40.43802148
1,0,45,2017,"BAYARD ST & DEVONSHIRE ST PITTSBURGH, PA ",34,1,67,4,709,8,2,-79.94542741,40.45138594
1,0,14,2017,"1700 Block MURRAY AV PITTSBURGH, PA ",37,1,46,4,1413,5,3,-79.92305429,40.43802148
1,0,17,2017,"1700 Block MURRAY AV PITTSBURGH, PA ",37,1,46,4,1413,5,3,-79.92305429,40.43802148
1,0,17,2017,"1700 Block MURRAY AV PITTSBURGH, PA ",34,1,46,4,1413,5,3,-79.92305429,40.43802148
1,0,16,2017,"1700 Block MURRAY AV PITTSBURGH, PA ",37,1,46,4,1413,5,3,-79.92305429,40.43802148
1,1,19,2017,"2400 Block RAVEN ST PITTSBURGH, PA ",34,1,11,3,2904,4,3,-79.9811006,40.39063586
1,0,20,2017,"2400 Block RAVEN ST PITTSBURGH, PA ",34,1,11,3,2904,4,3,-79.9811006,40.39063586
0,0,21,2017,"5000 Block STEELE CT PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.93953438,40.40948671
0,0,31,2017,"5500 Block NEGLEY AV PITTSBURGH, PA ",37,1,67,4,709,8,3,-79.92545162,40.43971496
0,0,27,2017,"1000 Block CHELTON AV PITTSBURGH, PA ",34,1,7,6,1918,4,5,-80.01714366,40.39135055
1,1,32,2017,"FRANKSTOWN AV & ROBINSON BL PITTSBURGH, PA ",34,1,10,5,1306,,,0,0
1,1,23,2017,"MT VERNON ST & N LANG AV PITTSBURGH, PA ",34,1,29,5,1301,9,2,-79.8975569,40.46208234
1,1,20,2017,"IDLEWILD ST & N HOMEWOOD AV PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89599635,40.45817316
1,2,29,2017,"4900 Block BUTLER ST PITTSBURGH, PA ",34,1,72,2,901,7,2,-79.95686279,40.4770096
0,1,22,2017,"7500 Block ALSACE WY PITTSBURGH, PA ",34,1,45,5,1303,9,2,-79.89283895,40.45297535
1,1,35,2017,"7500 Block ALSACE WY PITTSBURGH, PA ",34,1,45,5,1303,9,2,-79.89283895,40.45297535
1,1,27,2017,"MONTICELLO ST & STERRETT ST PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89331321,40.45903089
1,1,26,2017,"800 Block BRUSHTON AV PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88837848,40.45461029
1,0,20,2017,"10 Block VINECLIFF ST PITTSBURGH, PA ",34,1,55,3,1914,,,0,0
1,1,18,2017,"WEBSTER AV & ERIN ST PITTSBURGH, PA ",34,1,23,2,501,6,3,-79.98032477,40.44631272
1,1,20,2017,"WEBSTER AV & ERIN ST PITTSBURGH, PA ",34,1,23,2,501,6,3,-79.98032477,40.44631272
1,1,17,2017,"WEBSTER AV & ERIN ST PITTSBURGH, PA ",34,1,23,2,501,6,3,-79.98032477,40.44631272
1,0,21,2017,"60 Block WELSH WY PITTSBURGH, PA ",34,1,50,3,1706,3,3,-79.98760642,40.42398879
1,1,31,2017,"FRANKSTOWN AV & DURANGO WY PITTSBURGH, PA ",34,1,29,5,1301,9,2,-79.88867139,40.45565443
0,1,27,2017,"E NORTH AV & BOYLE ST PITTSBURGH, PA ",34,1,12,1,2204,1,1,-80.00570809,40.45562426
1,1,18,2017,"300 Block BURSON WY PITTSBURGH, PA ",34,1,55,3,1914,2,5,-80.00879528,40.42577224
1,1,23,2017,"ENRIGHT CT & BROAD ST PITTSBURGH, PA ",34,1,9,5,1115,9,2,-79.91666731,40.46067957
1,0,65,2017,"800 Block FREEPORT RD PITTSBURGH, PA ",34,1,25,5,1201,9,2,-79.89761421,40.48782354
1,1,23,2017,"PACE WY & LENORA ST PITTSBURGH, PA ",34,1,54,5,1208,9,2,-79.91595767,40.4659511
1,1,16,2017,"300 Block FLOWERS AV PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.94056013,40.41085832
1,1,26,2017,"300 Block FLOWERS AV PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.94056013,40.41085832
1,1,36,2017,"N NEGLEY AV & PENN AV PITTSBURGH, PA ",34,1,52,5,1114,9,2,-79.93066068,40.46350422
1,1,26,2017,"S 18TH ST & JOSEPHINE ST PITTSBURGH, PA ",34,1,50,3,1706,3,3,-79.97973319,40.42490976
1,1,48,2017,"800 Block BRUSHTON AV PITTSBURGH, PA ",34,1,45,5,1304,9,2,-79.88837848,40.45461029
1,0,20,2017,"MEADOW ST & ST MARIE ST PITTSBURGH, PA ",34,1,28,5,1106,9,2,-79.9164344,40.46764114
1,1,54,2017,"CEDAR AV & VIRGIN WY PITTSBURGH, PA ",37,1,12,1,2204,1,1,-80.00158945,40.45298477
1,1,17,2017,"FRANKSTOWN AV & LOWELL ST PITTSBURGH, PA ",34,1,54,5,1208,9,2,-79.91379049,40.46042593
1,1,16,2017,"200 Block S NEGLEY AV PITTSBURGH, PA ",34,1,9,5,1115,9,2,-79.93012236,40.46456389
0,1,25,2017,"ORCHARD PL & GRIMES AV PITTSBURGH, PA ",34,1,61,3,3001,3,5,-79.99315576,40.41799183
1,1,30,2017,"S 18TH ST & 59 CT PITTSBURGH, PA ",34,1,13,3,1609,3,3,-79.98025877,40.43173411
1,0,19,2018,"4900 Block 2ND AV PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.9440557,40.40990781
1,0,20,2018,"4900 Block 2ND AV PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.9440557,40.40990781
1,0,15,2018,"4900 Block 2ND AV PITTSBURGH, PA ",34,1,32,4,1515,5,3,-79.9440557,40.40990781
1,1,23,2018,"FRANKSTOWN AV & COLLIER ST PITTSBURGH, PA ",34,1,29,5,1302,9,2,-79.89190208,40.45639295
1,0,19,2018,"60 AV & E WARRINGTON AV PITTSBURGH, PA ",34,1,19,3,1803,3,5,-79.99740008,40.42164787
0,0,19,2018,"60 AV & E WARRINGTON AV PITTSBURGH, PA ",34,1,19,3,1803,3,5,-79.99740008,40.42164787
1,1,24,2018,"10 DR & WILNER DR PITTSBURGH, PA ",34,1,10,5,1306,9,2,-79.87114419,40.45510424
1,0,35,2018,"5TH AVENUE PLACE PITTSBURGH, PA ",34,1,86,2,201,1,1,-79.998571,40.45695057
1,1,17,2018,"HERRON AV & WYLIE AV PITTSBURGH, PA ",34,1,23,2,501,6,3,-79.96494696,40.45095517
1,1,26,2018,"FRANKSTOWN AV & ENTERPRISE ST PITTSBURGH, PA ",34,1,54,5,1208,9,2,-79.91379049,40.46042593
1,1,26,2018,"FRANKSTOWN AV & ENTERPRISE ST PITTSBURGH, PA ",34,1,54,5,1208,9,2,-79.91379049,40.46042593
1,1,33,2018,"8TH ST & FT DUQUESNE BL PITTSBURGH, PA ",34,1,86,2,201,6,6,-79.99995574,40.44482218
